population;cohort;site;sex;id;group;Rx(ppm);age_initiation(mo);status;dead;age(days)
UM-HET3;C2009;TJL;f;JL04005;17aE2;4,8;10;dead;1;588
UM-HET3;C2009;TJL;f;JL04006;17aE2;4,8;10;dead;1;1065
UM-HET3;C2009;TJL;f;JL04007;17aE2;4,8;10;dead;1;1107
UM-HET3;C2009;TJL;f;JL04008;17aE2;4,8;10;dead;1;777
UM-HET3;C2009;TJL;m;JL04015;17aE2;4,8;10;dead;1;932
UM-HET3;C2009;TJL;m;JL04016;17aE2;4,8;10;dead;1;854
UM-HET3;C2009;TJL;m;JL04017;17aE2;4,8;10;dead;1;867
UM-HET3;C2009;TJL;m;JL04111;17aE2;4,8;10;dead;1;1014
UM-HET3;C2009;TJL;m;JL04112;17aE2;4,8;10;dead;1;892
UM-HET3;C2009;TJL;m;JL04113;17aE2;4,8;10;dead;1;645
UM-HET3;C2009;TJL;f;JL04130;17aE2;4,8;10;dead;1;1041
UM-HET3;C2009;TJL;f;JL04131;17aE2;4,8;10;dead;1;1090
UM-HET3;C2009;TJL;f;JL04132;17aE2;4,8;10;dead;1;867
UM-HET3;C2009;TJL;f;JL04133;17aE2;4,8;10;dead;1;990
UM-HET3;C2009;TJL;m;JL04162;17aE2;4,8;10;dead;1;937
UM-HET3;C2009;TJL;m;JL04163;17aE2;4,8;10;dead;1;941
UM-HET3;C2009;TJL;m;JL04164;17aE2;4,8;10;dead;1;941
UM-HET3;C2009;TJL;f;JL04176;17aE2;4,8;10;dead;1;890
UM-HET3;C2009;TJL;f;JL04177;17aE2;4,8;10;dead;1;815
UM-HET3;C2009;TJL;f;JL04178;17aE2;4,8;10;dead;1;828
UM-HET3;C2009;TJL;f;JL04179;17aE2;4,8;10;dead;1;694
UM-HET3;C2009;TJL;m;JL04180;17aE2;4,8;10;dead;1;300
UM-HET3;C2009;TJL;m;JL04181;17aE2;4,8;10;dead;1;300
UM-HET3;C2009;TJL;m;JL04182;17aE2;4,8;10;dead;1;300
UM-HET3;C2009;TJL;f;JL04216;17aE2;4,8;10;dead;1;882
UM-HET3;C2009;TJL;f;JL04217;17aE2;4,8;10;dead;1;750
UM-HET3;C2009;TJL;f;JL04218;17aE2;4,8;10;dead;1;722
UM-HET3;C2009;TJL;f;JL04219;17aE2;4,8;10;dead;1;765
UM-HET3;C2009;TJL;m;JL04252;17aE2;4,8;10;dead;1;337
UM-HET3;C2009;TJL;m;JL04253;17aE2;4,8;10;dead;1;791
UM-HET3;C2009;TJL;m;JL04254;17aE2;4,8;10;dead;1;601
UM-HET3;C2009;TJL;f;JL04262;17aE2;4,8;10;dead;1;930
UM-HET3;C2009;TJL;f;JL04263;17aE2;4,8;10;dead;1;902
UM-HET3;C2009;TJL;f;JL04264;17aE2;4,8;10;dead;1;1055
UM-HET3;C2009;TJL;f;JL04265;17aE2;4,8;10;dead;1;1025
UM-HET3;C2009;TJL;m;JL04339;17aE2;4,8;10;dead;1;271
UM-HET3;C2009;TJL;m;JL04340;17aE2;4,8;10;dead;1;452
UM-HET3;C2009;TJL;m;JL04341;17aE2;4,8;10;dead;1;508
UM-HET3;C2009;TJL;m;JL04353;17aE2;4,8;10;dead;1;1117
UM-HET3;C2009;TJL;m;JL04354;17aE2;4,8;10;dead;1;999
UM-HET3;C2009;TJL;m;JL04355;17aE2;4,8;10;dead;1;712
UM-HET3;C2009;TJL;m;JL04364;17aE2;4,8;10;dead;1;722
UM-HET3;C2009;TJL;m;JL04365;17aE2;4,8;10;dead;1;304
UM-HET3;C2009;TJL;m;JL04366;17aE2;4,8;10;dead;1;568
UM-HET3;C2009;TJL;m;JL04367;17aE2;4,8;10;removed;0;1096
UM-HET3;C2009;TJL;m;JL04368;17aE2;4,8;10;dead;1;1079
UM-HET3;C2009;TJL;m;JL04369;17aE2;4,8;10;dead;1;316
UM-HET3;C2009;TJL;f;JL04427;17aE2;4,8;10;dead;1;820
UM-HET3;C2009;TJL;f;JL04428;17aE2;4,8;10;dead;1;1108
UM-HET3;C2009;TJL;f;JL04429;17aE2;4,8;10;dead;1;695
UM-HET3;C2009;TJL;f;JL04430;17aE2;4,8;10;dead;1;926
UM-HET3;C2009;TJL;f;JL04431;17aE2;4,8;10;dead;1;1030
UM-HET3;C2009;TJL;f;JL04432;17aE2;4,8;10;dead;1;828
UM-HET3;C2009;TJL;f;JL04433;17aE2;4,8;10;dead;1;701
UM-HET3;C2009;TJL;f;JL04434;17aE2;4,8;10;dead;1;1136
UM-HET3;C2009;TJL;m;JL04446;17aE2;4,8;10;dead;1;1017
UM-HET3;C2009;TJL;m;JL04447;17aE2;4,8;10;dead;1;989
UM-HET3;C2009;TJL;m;JL04448;17aE2;4,8;10;dead;1;573
UM-HET3;C2009;TJL;m;JL04449;17aE2;4,8;10;dead;1;996
UM-HET3;C2009;TJL;m;JL04450;17aE2;4,8;10;dead;1;541
UM-HET3;C2009;TJL;m;JL04451;17aE2;4,8;10;dead;1;1059
UM-HET3;C2009;TJL;m;JL04487;17aE2;4,8;10;dead;1;794
UM-HET3;C2009;TJL;m;JL04488;17aE2;4,8;10;dead;1;1163
UM-HET3;C2009;TJL;m;JL04489;17aE2;4,8;10;dead;1;960
UM-HET3;C2009;TJL;f;JL04499;17aE2;4,8;10;dead;1;1166
UM-HET3;C2009;TJL;f;JL04500;17aE2;4,8;10;dead;1;1055
UM-HET3;C2009;TJL;f;JL04501;17aE2;4,8;10;dead;1;782
UM-HET3;C2009;TJL;f;JL04502;17aE2;4,8;10;dead;1;928
UM-HET3;C2009;TJL;m;JL04570;17aE2;4,8;10;dead;1;1064
UM-HET3;C2009;TJL;m;JL04571;17aE2;4,8;10;dead;1;828
UM-HET3;C2009;TJL;m;JL04572;17aE2;4,8;10;dead;1;520
UM-HET3;C2009;TJL;m;JL04588;17aE2;4,8;10;dead;1;300
UM-HET3;C2009;TJL;m;JL04589;17aE2;4,8;10;dead;1;1237
UM-HET3;C2009;TJL;m;JL04590;17aE2;4,8;10;dead;1;1140
UM-HET3;C2009;TJL;f;JL04623;17aE2;4,8;10;dead;1;957
UM-HET3;C2009;TJL;f;JL04624;17aE2;4,8;10;dead;1;1055
UM-HET3;C2009;TJL;f;JL04625;17aE2;4,8;10;dead;1;319
UM-HET3;C2009;TJL;f;JL04626;17aE2;4,8;10;dead;1;1048
UM-HET3;C2009;TJL;m;JL04648;17aE2;4,8;10;dead;1;721
UM-HET3;C2009;TJL;m;JL04649;17aE2;4,8;10;dead;1;946
UM-HET3;C2009;TJL;m;JL04650;17aE2;4,8;10;dead;1;792
UM-HET3;C2009;TJL;m;JL04651;17aE2;4,8;10;dead;1;987
UM-HET3;C2009;TJL;m;JL04652;17aE2;4,8;10;dead;1;568
UM-HET3;C2009;TJL;m;JL04653;17aE2;4,8;10;dead;1;574
UM-HET3;C2009;TJL;f;JL04666;17aE2;4,8;10;dead;1;1027
UM-HET3;C2009;TJL;f;JL04667;17aE2;4,8;10;dead;1;824
UM-HET3;C2009;TJL;f;JL04668;17aE2;4,8;10;dead;1;804
UM-HET3;C2009;TJL;f;JL04669;17aE2;4,8;10;dead;1;621
UM-HET3;C2009;TJL;f;JL04670;17aE2;4,8;10;dead;1;912
UM-HET3;C2009;TJL;f;JL04671;17aE2;4,8;10;dead;1;818
UM-HET3;C2009;TJL;f;JL04672;17aE2;4,8;10;dead;1;776
UM-HET3;C2009;TJL;f;JL04673;17aE2;4,8;10;dead;1;818
UM-HET3;C2009;TJL;m;JL04720;17aE2;4,8;10;dead;1;582
UM-HET3;C2009;TJL;m;JL04721;17aE2;4,8;10;dead;1;827
UM-HET3;C2009;TJL;m;JL04722;17aE2;4,8;10;dead;1;1246
UM-HET3;C2009;TJL;f;JL04775;17aE2;4,8;10;dead;1;1112
UM-HET3;C2009;TJL;f;JL04776;17aE2;4,8;10;dead;1;918
UM-HET3;C2009;TJL;f;JL04777;17aE2;4,8;10;dead;1;638
UM-HET3;C2009;TJL;f;JL04778;17aE2;4,8;10;dead;1;428
UM-HET3;C2009;TJL;m;JL04798;17aE2;4,8;10;dead;1;876
UM-HET3;C2009;TJL;m;JL04799;17aE2;4,8;10;dead;1;1056
UM-HET3;C2009;TJL;m;JL04800;17aE2;4,8;10;dead;1;860
UM-HET3;C2009;UM;f;UM24654;17aE2;4,8;10;dead;1;768
UM-HET3;C2009;UM;f;UM24661;17aE2;4,8;10;dead;1;927
UM-HET3;C2009;UM;f;UM24668;17aE2;4,8;10;dead;1;929
UM-HET3;C2009;UM;f;UM24675;17aE2;4,8;10;dead;1;1167
UM-HET3;C2009;UM;f;UM24773;17aE2;4,8;10;dead;1;880
UM-HET3;C2009;UM;f;UM24780;17aE2;4,8;10;dead;1;846
UM-HET3;C2009;UM;f;UM24787;17aE2;4,8;10;dead;1;971
UM-HET3;C2009;UM;f;UM24794;17aE2;4,8;10;dead;1;991
UM-HET3;C2009;UM;f;UM24850;17aE2;4,8;10;dead;1;964
UM-HET3;C2009;UM;f;UM24857;17aE2;4,8;10;dead;1;877
UM-HET3;C2009;UM;f;UM24864;17aE2;4,8;10;dead;1;872
UM-HET3;C2009;UM;f;UM24871;17aE2;4,8;10;dead;1;797
UM-HET3;C2009;UM;f;UM24920;17aE2;4,8;10;dead;1;1046
UM-HET3;C2009;UM;f;UM24927;17aE2;4,8;10;dead;1;988
UM-HET3;C2009;UM;f;UM24934;17aE2;4,8;10;dead;1;860
UM-HET3;C2009;UM;f;UM24941;17aE2;4,8;10;dead;1;914
UM-HET3;C2009;UM;m;UM25116;17aE2;4,8;10;dead;1;1148
UM-HET3;C2009;UM;m;UM25123;17aE2;4,8;10;dead;1;1190
UM-HET3;C2009;UM;m;UM25130;17aE2;4,8;10;dead;1;1010
UM-HET3;C2009;UM;m;UM25200;17aE2;4,8;10;dead;1;572
UM-HET3;C2009;UM;m;UM25207;17aE2;4,8;10;dead;1;1171
UM-HET3;C2009;UM;m;UM25214;17aE2;4,8;10;dead;1;949
UM-HET3;C2009;UM;f;UM25312;17aE2;4,8;10;dead;1;738
UM-HET3;C2009;UM;f;UM25319;17aE2;4,8;10;dead;1;910
UM-HET3;C2009;UM;f;UM25326;17aE2;4,8;10;dead;1;990
UM-HET3;C2009;UM;f;UM25333;17aE2;4,8;10;dead;1;921
UM-HET3;C2009;UM;m;UM25487;17aE2;4,8;10;dead;1;1236
UM-HET3;C2009;UM;m;UM25494;17aE2;4,8;10;dead;1;909
UM-HET3;C2009;UM;m;UM25501;17aE2;4,8;10;dead;1;837
UM-HET3;C2009;UM;m;UM25956;17aE2;4,8;10;dead;1;971
UM-HET3;C2009;UM;m;UM25963;17aE2;4,8;10;dead;1;1155
UM-HET3;C2009;UM;m;UM25970;17aE2;4,8;10;dead;1;1076
UM-HET3;C2009;UM;f;UM26005;17aE2;4,8;10;dead;1;618
UM-HET3;C2009;UM;f;UM26012;17aE2;4,8;10;dead;1;956
UM-HET3;C2009;UM;f;UM26019;17aE2;4,8;10;dead;1;1096
UM-HET3;C2009;UM;f;UM26026;17aE2;4,8;10;dead;1;893
UM-HET3;C2009;UM;m;UM26159;17aE2;4,8;10;dead;1;821
UM-HET3;C2009;UM;m;UM26166;17aE2;4,8;10;dead;1;825
UM-HET3;C2009;UM;m;UM26173;17aE2;4,8;10;dead;1;801
UM-HET3;C2009;UM;m;UM26229;17aE2;4,8;10;dead;1;1187
UM-HET3;C2009;UM;m;UM26236;17aE2;4,8;10;dead;1;1188
UM-HET3;C2009;UM;m;UM26243;17aE2;4,8;10;dead;1;1145
UM-HET3;C2009;UM;m;UM26369;17aE2;4,8;10;dead;1;739
UM-HET3;C2009;UM;m;UM26376;17aE2;4,8;10;dead;1;1012
UM-HET3;C2009;UM;m;UM26383;17aE2;4,8;10;dead;1;930
UM-HET3;C2009;UM;m;UM26600;17aE2;4,8;10;dead;1;1168
UM-HET3;C2009;UM;m;UM26607;17aE2;4,8;10;dead;1;1007
UM-HET3;C2009;UM;m;UM26614;17aE2;4,8;10;dead;1;1108
UM-HET3;C2009;UM;m;UM26887;17aE2;4,8;10;dead;1;831
UM-HET3;C2009;UM;m;UM26894;17aE2;4,8;10;dead;1;1361
UM-HET3;C2009;UM;m;UM26901;17aE2;4,8;10;dead;1;595
UM-HET3;C2009;UM;f;UM27146;17aE2;4,8;10;dead;1;553
UM-HET3;C2009;UM;f;UM27153;17aE2;4,8;10;removed;0;43
UM-HET3;C2009;UM;f;UM27160;17aE2;4,8;10;dead;1;810
UM-HET3;C2009;UM;f;UM27167;17aE2;4,8;10;dead;1;677
UM-HET3;C2009;UM;m;UM27223;17aE2;4,8;10;dead;1;1050
