population;cohort;site;sex;id;group;Rx(ppm);age_initiation(mo);status;dead;age(days)
UM-HET3;C2004;TJL;m;JL00005;4-OH-PBN;315;4.0;dead;1;896
UM-HET3;C2004;TJL;m;JL00006;4-OH-PBN;315;4.0;dead;1;1077
UM-HET3;C2004;TJL;m;JL00007;4-OH-PBN;315;4.0;dead;1;790
UM-HET3;C2004;TJL;f;JL00095;4-OH-PBN;315;4.0;dead;1;823
UM-HET3;C2004;TJL;f;JL00096;4-OH-PBN;315;4.0;dead;1;601
UM-HET3;C2004;TJL;f;JL00097;4-OH-PBN;315;4.0;dead;1;842
UM-HET3;C2004;TJL;f;JL00098;4-OH-PBN;315;4.0;dead;1;885
UM-HET3;C2004;TJL;m;JL00106;4-OH-PBN;315;4.0;dead;1;912
UM-HET3;C2004;TJL;m;JL00107;4-OH-PBN;315;4.0;dead;1;919
UM-HET3;C2004;TJL;m;JL00108;4-OH-PBN;315;4.0;dead;1;967
UM-HET3;C2004;TJL;m;JL00113;4-OH-PBN;315;4.0;dead;1;605
UM-HET3;C2004;TJL;m;JL00114;4-OH-PBN;315;4.0;dead;1;870
UM-HET3;C2004;TJL;m;JL00115;4-OH-PBN;315;4.0;dead;1;435
UM-HET3;C2004;TJL;m;JL00152;4-OH-PBN;315;4.0;removed;0;653
UM-HET3;C2004;TJL;m;JL00153;4-OH-PBN;315;4.0;dead;1;128
UM-HET3;C2004;TJL;m;JL00154;4-OH-PBN;315;4.0;removed;0;653
UM-HET3;C2004;TJL;m;JL00159;4-OH-PBN;315;4.0;dead;1;910
UM-HET3;C2004;TJL;m;JL00160;4-OH-PBN;315;4.0;dead;1;1028
UM-HET3;C2004;TJL;m;JL00161;4-OH-PBN;315;4.0;dead;1;939
UM-HET3;C2004;TJL;f;JL00188;4-OH-PBN;315;4.0;dead;1;950
UM-HET3;C2004;TJL;f;JL00189;4-OH-PBN;315;4.0;dead;1;686
UM-HET3;C2004;TJL;f;JL00190;4-OH-PBN;315;4.0;dead;1;610
UM-HET3;C2004;TJL;f;JL00191;4-OH-PBN;315;4.0;dead;1;1043
UM-HET3;C2004;TJL;m;JL00192;4-OH-PBN;315;4.0;dead;1;496
UM-HET3;C2004;TJL;m;JL00193;4-OH-PBN;315;4.0;dead;1;876
UM-HET3;C2004;TJL;m;JL00194;4-OH-PBN;315;4.0;dead;1;961
UM-HET3;C2004;TJL;f;JL00237;4-OH-PBN;315;4.0;dead;1;715
UM-HET3;C2004;TJL;f;JL00238;4-OH-PBN;315;4.0;dead;1;930
UM-HET3;C2004;TJL;f;JL00239;4-OH-PBN;315;4.0;dead;1;1101
UM-HET3;C2004;TJL;f;JL00240;4-OH-PBN;315;4.0;dead;1;820
UM-HET3;C2004;TJL;f;JL00264;4-OH-PBN;315;4.0;dead;1;620
UM-HET3;C2004;TJL;f;JL00265;4-OH-PBN;315;4.0;dead;1;850
UM-HET3;C2004;TJL;f;JL00266;4-OH-PBN;315;4.0;dead;1;584
UM-HET3;C2004;TJL;f;JL00267;4-OH-PBN;315;4.0;dead;1;850
UM-HET3;C2004;TJL;m;JL00268;4-OH-PBN;315;4.0;dead;1;416
UM-HET3;C2004;TJL;m;JL00269;4-OH-PBN;315;4.0;dead;1;634
UM-HET3;C2004;TJL;m;JL00270;4-OH-PBN;315;4.0;dead;1;641
UM-HET3;C2004;TJL;f;JL00278;4-OH-PBN;315;4.0;dead;1;876
UM-HET3;C2004;TJL;f;JL00279;4-OH-PBN;315;4.0;dead;1;959
UM-HET3;C2004;TJL;f;JL00280;4-OH-PBN;315;4.0;dead;1;762
UM-HET3;C2004;TJL;f;JL00281;4-OH-PBN;315;4.0;dead;1;328
UM-HET3;C2004;TJL;f;JL00307;4-OH-PBN;315;4.0;dead;1;981
UM-HET3;C2004;TJL;f;JL00308;4-OH-PBN;315;4.0;dead;1;743
UM-HET3;C2004;TJL;f;JL00309;4-OH-PBN;315;4.0;dead;1;743
UM-HET3;C2004;TJL;f;JL00310;4-OH-PBN;315;4.0;dead;1;1099
UM-HET3;C2004;TJL;f;JL00335;4-OH-PBN;315;4.0;dead;1;793
