Search query: aging OR longevity OR senescence
Year,Count
2024,2694
2023,47734
2022,49137
2021,48732
2020,44848
2019,38572
2018,35929
2017,33913
2016,32361
2015,30273
2014,28078
2013,24489
2012,21980
2011,20343
2010,19238
2009,17676
2008,16033
2007,14944
2006,13829
2005,13086
2004,11457
2003,10771
2002,10251
2001,9353
2000,8987
1999,8088
1998,7879
1997,8126
1996,7227
1995,7031
1994,6915
1993,6782
1992,6621
1991,6366
1990,6080
1989,5995
1988,5302
1987,4657
1986,4446
1985,4046
1984,4139
1983,3909
1982,4103
1981,3836
1980,3644
1979,3136
1978,2809
1977,2210
1976,2006
1975,2078
1974,1659
1973,1501
1972,1344
1971,1367
1970,1191
1969,1320
1968,1342
1967,1560
1966,1359
1965,1374
1964,1502
1963,877
1962,606
1961,544
1960,441
1959,439
1958,412
1957,390
1956,404
1955,358
1954,287
1953,220
1952,129
1951,101
1950,76
1949,55
1948,63
1947,85
1946,79
1945,13
1944,3
1943,2
1942,8
1941,3
1940,7
1939,8
1938,3
1937,2
1936,4
1935,6
1934,3
1933,3
1932,4
1930,5
1929,3
1928,5
1927,3
1926,5
1925,4
1924,3
1923,5
1922,2
1920,1
1918,3
1916,2
1914,1
1912,1
1911,1
1910,1
1909,1
1908,1
1907,2
1906,2
1905,2
1903,1
1900,3
1897,4
1896,2
1894,3
1893,1
1892,1
1891,1
1889,1
1888,1
1886,5
1885,2
1884,4
1882,5
1881,5
1880,1
1879,1
1878,1
1876,1
1875,2
1873,5
1868,1
1867,1
1861,2
1860,3
1859,2
1858,2
1856,1
1855,2
1854,3
1849,1
1845,1
1844,5
1843,1
1838,2
1837,1
1833,1
1832,1
1831,1
1829,1
1805,1
1786,1
