Search query: Genetics OR Genomics
Year,Count
2024,13470
2023,252885
2022,281275
2021,291930
2020,273735
2019,251124
2018,240324
2017,236981
2016,236548
2015,238762
2014,232112
2013,223626
2012,213788
2011,202355
2010,188828
2009,176025
2008,166392
2007,157682
2006,150694
2005,140711
2004,129891
2003,120504
2002,112044
2001,107987
2000,102392
1999,92122
1998,85358
1997,78286
1996,73229
1995,69370
1994,63514
1993,59048
1992,53803
1991,48938
1990,44734
1989,37922
1988,33260
1987,29197
1986,25187
1985,23166
1984,21517
1983,20004
1982,18293
1981,16303
1980,15024
1979,14259
1978,13239
1977,11736
1976,11386
1975,10956
1974,11006
1973,9639
1972,9434
1971,8939
1970,8045
1969,7353
1968,6783
1967,5411
1966,3879
1965,3978
1964,4071
1963,2374
1962,1581
1961,1438
1960,1275
1959,982
1958,731
1957,698
1956,652
1955,542
1954,522
1953,511
1952,452
1951,533
1950,507
1949,306
1948,531
1947,326
1946,395
1945,133
1944,50
1943,46
1942,48
1941,53
1940,47
1939,60
1938,45
1937,51
1936,58
1935,62
1934,55
1933,49
1932,57
1931,48
1930,39
1929,37
1928,36
1927,39
1926,42
1925,37
1924,40
1923,33
1922,27
1921,28
1920,18
1919,22
1918,24
1917,25
1916,27
1915,3
1913,1
1912,3
1909,2
1907,1
1899,1
1898,1
1874,1
