Search query: Neurodegenerative Diseases
Year,Count
2024,1314
2023,24469
2022,26849
2021,26541
2020,25069
2019,22092
2018,20796
2017,20154
2016,19063
2015,18368
2014,17668
2013,17241
2012,16185
2011,14920
2010,14012
2009,12550
2008,11741
2007,10889
2006,10540
2005,9528
2004,8873
2003,8276
2002,7918
2001,7555
2000,7105
1999,6498
1998,5892
1997,5775
1996,5452
1995,4961
1994,4525
1993,4349
1992,3910
1991,3648
1990,3362
1989,3203
1988,2784
1987,2705
1986,2458
1985,1974
1984,1823
1983,1616
1982,1583
1981,1368
1980,1205
1979,1174
1978,1216
1977,1178
1976,1251
1975,1103
1974,1082
1973,1154
1972,1290
1971,1432
1970,1213
1969,1012
1968,908
1967,867
1966,766
1965,747
1964,756
1963,641
1962,509
1961,493
1960,396
1959,389
1958,394
1957,386
1956,413
1955,395
1954,375
1953,344
1952,331
1951,344
1950,260
1949,158
1948,150
1947,125
1946,135
1945,26
