Search query: Stem Cell
Year,Count
2024,2049
2023,35206
2022,37778
2021,41609
2020,39078
2019,35736
2018,34056
2017,33898
2016,32898
2015,31602
2014,29277
2013,27835
2012,25372
2011,22743
2010,20619
2009,17614
2008,16317
2007,14571
2006,12852
2005,11403
2004,9758
2003,8564
2002,7701
2001,6716
2000,6000
1999,5334
1998,4842
1997,4500
1996,4392
1995,3966
1994,3456
1993,3236
1992,2773
1991,2560
1990,2400
1989,2258
1988,1921
1987,1822
1986,1813
1985,1947
1984,1694
1983,1322
1982,1223
1981,980
1980,914
1979,768
1978,633
1977,500
1976,491
1975,482
1974,343
1973,330
1972,286
1971,213
1970,112
1969,83
1968,83
1967,68
1966,37
1965,45
1964,69
1963,56
1962,53
1961,41
1960,38
1959,39
1958,35
1957,30
1956,22
1955,25
1954,31
1953,27
1952,17
1951,10
1950,12
1949,6
1948,8
1947,4
1946,7
1945,2
1940,1
1936,1
1935,1
1934,2
1933,1
1932,1
1916,1
1912,1
1911,1
