population;cohort;site;sex;id;group;Rx(ppm);age_initiation(mo);status;dead;age(days)
UM-HET3;C2007;TJL;m;JL03025;Control;0;;dead;1;853
UM-HET3;C2007;TJL;m;JL03026;Control;0;;dead;1;782
UM-HET3;C2007;TJL;m;JL03027;Control;0;;dead;1;899
UM-HET3;C2007;TJL;f;JL03034;Control;0;;dead;1;979
UM-HET3;C2007;TJL;f;JL03035;Control;0;;dead;1;832
UM-HET3;C2007;TJL;f;JL03036;Control;0;;dead;1;1133
UM-HET3;C2007;TJL;f;JL03037;Control;0;;dead;1;938
UM-HET3;C2007;TJL;f;JL03041;Control;0;;dead;1;1252
UM-HET3;C2007;TJL;f;JL03042;Control;0;;dead;1;736
UM-HET3;C2007;TJL;f;JL03043;Control;0;;dead;1;1021
UM-HET3;C2007;TJL;f;JL03044;Control;0;;dead;1;443
UM-HET3;C2007;TJL;f;JL03052;Control;0;;dead;1;1078
UM-HET3;C2007;TJL;f;JL03053;Control;0;;dead;1;1025
UM-HET3;C2007;TJL;f;JL03054;Control;0;;dead;1;878
UM-HET3;C2007;TJL;f;JL03055;Control;0;;dead;1;732
UM-HET3;C2007;TJL;m;JL03060;Control;0;;dead;1;963
UM-HET3;C2007;TJL;m;JL03061;Control;0;;dead;1;1028
UM-HET3;C2007;TJL;m;JL03062;Control;0;;dead;1;868
UM-HET3;C2007;TJL;m;JL03073;Control;0;;dead;1;780
UM-HET3;C2007;TJL;m;JL03074;Control;0;;dead;1;778
UM-HET3;C2007;TJL;m;JL03075;Control;0;;dead;1;505
UM-HET3;C2007;TJL;f;JL03082;Control;0;;dead;1;745
UM-HET3;C2007;TJL;f;JL03083;Control;0;;dead;1;903
UM-HET3;C2007;TJL;f;JL03084;Control;0;;dead;1;930
UM-HET3;C2007;TJL;f;JL03085;Control;0;;dead;1;656
UM-HET3;C2007;TJL;m;JL03107;Control;0;;dead;1;587
UM-HET3;C2007;TJL;m;JL03108;Control;0;;dead;1;923
UM-HET3;C2007;TJL;m;JL03109;Control;0;;dead;1;826
UM-HET3;C2007;TJL;m;JL03110;Control;0;;dead;1;498
UM-HET3;C2007;TJL;m;JL03111;Control;0;;dead;1;792
UM-HET3;C2007;TJL;m;JL03112;Control;0;;dead;1;967
UM-HET3;C2007;TJL;f;JL03113;Control;0;;dead;1;991
UM-HET3;C2007;TJL;f;JL03114;Control;0;;dead;1;818
UM-HET3;C2007;TJL;f;JL03115;Control;0;;dead;1;768
UM-HET3;C2007;TJL;f;JL03116;Control;0;;dead;1;973
UM-HET3;C2007;TJL;f;JL03117;Control;0;;dead;1;1340
UM-HET3;C2007;TJL;f;JL03118;Control;0;;dead;1;1200
UM-HET3;C2007;TJL;f;JL03119;Control;0;;dead;1;1099
UM-HET3;C2007;TJL;f;JL03120;Control;0;;dead;1;754
UM-HET3;C2007;TJL;m;JL03149;Control;0;;dead;1;1091
UM-HET3;C2007;TJL;m;JL03150;Control;0;;dead;1;881
UM-HET3;C2007;TJL;m;JL03151;Control;0;;dead;1;1043
UM-HET3;C2007;TJL;m;JL03152;Control;0;;dead;1;1093
UM-HET3;C2007;TJL;m;JL03153;Control;0;;dead;1;541
UM-HET3;C2007;TJL;m;JL03154;Control;0;;dead;1;839
UM-HET3;C2007;TJL;f;JL03173;Control;0;;removed;0;832
UM-HET3;C2007;TJL;f;JL03175;Control;0;;removed;0;882
UM-HET3;C2007;TJL;f;JL03185;Control;0;;dead;1;608
UM-HET3;C2007;TJL;f;JL03186;Control;0;;dead;1;753
UM-HET3;C2007;TJL;f;JL03187;Control;0;;dead;1;691
UM-HET3;C2007;TJL;f;JL03188;Control;0;;dead;1;705
UM-HET3;C2007;TJL;f;JL03205;Control;0;;dead;1;794
UM-HET3;C2007;TJL;f;JL03206;Control;0;;dead;1;578
UM-HET3;C2007;TJL;f;JL03207;Control;0;;dead;1;1111
UM-HET3;C2007;TJL;f;JL03208;Control;0;;dead;1;780
UM-HET3;C2007;TJL;f;JL03209;Control;0;;dead;1;1081
UM-HET3;C2007;TJL;f;JL03210;Control;0;;dead;1;907
UM-HET3;C2007;TJL;f;JL03211;Control;0;;dead;1;1088
UM-HET3;C2007;TJL;f;JL03212;Control;0;;dead;1;1256
UM-HET3;C2007;TJL;m;JL03225;Control;0;;dead;1;377
UM-HET3;C2007;TJL;m;JL03226;Control;0;;dead;1;934
UM-HET3;C2007;TJL;m;JL03227;Control;0;;dead;1;1039
UM-HET3;C2007;TJL;f;JL03241;Control;0;;dead;1;723
UM-HET3;C2007;TJL;f;JL03242;Control;0;;dead;1;741
UM-HET3;C2007;TJL;f;JL03243;Control;0;;dead;1;1154
UM-HET3;C2007;TJL;f;JL03244;Control;0;;dead;1;703
UM-HET3;C2007;TJL;m;JL03278;Control;0;;dead;1;839
UM-HET3;C2007;TJL;m;JL03279;Control;0;;dead;1;683
UM-HET3;C2007;TJL;m;JL03280;Control;0;;dead;1;966
UM-HET3;C2007;TJL;f;JL03285;Control;0;;dead;1;533
UM-HET3;C2007;TJL;f;JL03286;Control;0;;dead;1;813
UM-HET3;C2007;TJL;f;JL03287;Control;0;;dead;1;889
UM-HET3;C2007;TJL;f;JL03288;Control;0;;dead;1;902
UM-HET3;C2007;TJL;m;JL03306;Control;0;;dead;1;649
UM-HET3;C2007;TJL;m;JL03307;Control;0;;dead;1;450
UM-HET3;C2007;TJL;m;JL03308;Control;0;;dead;1;803
UM-HET3;C2007;TJL;f;JL03316;Control;0;;dead;1;1058
UM-HET3;C2007;TJL;f;JL03317;Control;0;;dead;1;618
UM-HET3;C2007;TJL;f;JL03318;Control;0;;dead;1;1211
UM-HET3;C2007;TJL;f;JL03319;Control;0;;dead;1;1031
UM-HET3;C2007;TJL;m;JL03330;Control;0;;dead;1;573
UM-HET3;C2007;TJL;m;JL03331;Control;0;;dead;1;349
UM-HET3;C2007;TJL;m;JL03332;Control;0;;dead;1;377
UM-HET3;C2007;TJL;m;JL03357;Control;0;;dead;1;818
UM-HET3;C2007;TJL;m;JL03358;Control;0;;dead;1;680
UM-HET3;C2007;TJL;m;JL03359;Control;0;;dead;1;705
UM-HET3;C2007;TJL;m;JL03360;Control;0;;dead;1;470
UM-HET3;C2007;TJL;m;JL03361;Control;0;;dead;1;860
UM-HET3;C2007;TJL;m;JL03362;Control;0;;dead;1;345
UM-HET3;C2007;TJL;m;JL03384;Control;0;;dead;1;664
UM-HET3;C2007;TJL;m;JL03385;Control;0;;dead;1;562
UM-HET3;C2007;TJL;m;JL03386;Control;0;;dead;1;783
UM-HET3;C2007;TJL;f;JL03393;Control;0;;dead;1;860
UM-HET3;C2007;TJL;f;JL03394;Control;0;;dead;1;701
UM-HET3;C2007;TJL;f;JL03395;Control;0;;dead;1;617
UM-HET3;C2007;TJL;f;JL03396;Control;0;;dead;1;1071
UM-HET3;C2007;TJL;m;JL03417;Control;0;;dead;1;372
UM-HET3;C2007;TJL;m;JL03418;Control;0;;dead;1;646
UM-HET3;C2007;TJL;m;JL03419;Control;0;;dead;1;413
UM-HET3;C2007;TJL;f;JL03420;Control;0;;dead;1;555
UM-HET3;C2007;TJL;f;JL03421;Control;0;;dead;1;550
