x,y,sex,category
580.0,1.0,female,None
588.8051,1.0,female,None
588.8051,0.9771,female,None
588.8051,0.953,female,None
609.7051,0.953,female,None
609.7051,0.9315,female,None
624.2889,0.9315,female,None
624.2889,0.9062,female,None
633.6424,0.9062,female,None
633.6424,0.8825,female,None
637.6355,0.8825,female,None
637.6355,0.8591,female,None
663.9217,0.8591,female,None
663.9217,0.8318,female,None
688.6629,0.8318,female,None
688.6629,0.8114,female,None
688.6629,0.7876,female,None
688.6629,0.7617,female,None
701.0719,0.7617,female,None
701.0719,0.7382,female,None
722.7548,0.7382,female,None
722.7548,0.7145,female,None
742.6246,0.7145,female,None
742.6246,0.6911,female,None
755.8312,0.6911,female,None
755.8312,0.6668,female,None
778.848,0.6668,female,None
778.848,0.6435,female,None
788.0606,0.6435,female,None
788.0606,0.619,female,None
794.9898,0.619,female,None
794.9898,0.5951,female,None
799.6755,0.5951,female,None
799.6755,0.5704,female,None
815.0253,0.5704,female,None
815.0253,0.5474,female,None
815.0253,0.5232,female,None
815.0253,0.4999,female,None
823.2144,0.4999,female,None
823.2144,0.4762,female,None
841.9079,0.4762,female,None
841.9079,0.4524,female,None
844.0339,0.4524,female,None
844.0339,0.4281,female,None
848.6122,0.4281,female,None
848.6122,0.4054,female,None
848.6122,0.3792,female,None
872.1305,0.3792,female,None
872.1305,0.3557,female,None
877.3817,0.3557,female,None
580.0,1.0,female,Rapamycin
593.7465,1.0,female,Rapamycin
593.7465,0.9797,female,Rapamycin
681.809,0.9797,female,Rapamycin
681.809,0.9576,female,Rapamycin
706.9476,0.9576,female,Rapamycin
706.9476,0.9361,female,Rapamycin
722.8175,0.9361,female,Rapamycin
722.8175,0.9153,female,Rapamycin
742.0269,0.9153,female,Rapamycin
742.0269,0.8919,female,Rapamycin
794.03,0.8919,female,Rapamycin
794.03,0.8709,female,Rapamycin
798.0695,0.8709,female,Rapamycin
798.0695,0.8496,female,Rapamycin
808.7966,0.8496,female,Rapamycin
808.7966,0.8267,female,Rapamycin
815.5403,0.8267,female,Rapamycin
815.5403,0.8045,female,Rapamycin
820.9792,0.8045,female,Rapamycin
820.9792,0.7837,female,Rapamycin
826.9946,0.7837,female,Rapamycin
826.9946,0.7606,female,Rapamycin
830.1849,0.7606,female,Rapamycin
830.1849,0.7408,female,Rapamycin
837.0584,0.7408,female,Rapamycin
837.0584,0.7171,female,Rapamycin
840.2112,0.7171,female,Rapamycin
840.2112,0.6952,female,Rapamycin
860.8982,0.6952,female,Rapamycin
860.8982,0.6738,female,Rapamycin
864.756,0.6738,female,Rapamycin
864.756,0.6525,female,Rapamycin
868.116,0.6525,female,Rapamycin
868.116,0.6299,female,Rapamycin
877.7798,0.6299,female,Rapamycin
580.0,1.0,female,HSCs
601.6777,1.0,female,HSCs
601.6777,0.9752,female,HSCs
639.6589,0.9752,female,HSCs
639.6589,0.9521,female,HSCs
646.8037,0.9521,female,HSCs
646.8037,0.928,female,HSCs
659.7791,0.928,female,HSCs
659.7791,0.9042,female,HSCs
671.8379,0.9042,female,HSCs
671.8379,0.8782,female,HSCs
695.718,0.8782,female,HSCs
695.718,0.8549,female,HSCs
699.133,0.8549,female,HSCs
699.133,0.8303,female,HSCs
699.133,0.8067,female,HSCs
701.5322,0.8067,female,HSCs
719.1129,0.8067,female,HSCs
719.1129,0.7828,female,HSCs
728.879,0.7828,female,HSCs
728.879,0.7569,female,HSCs
745.9112,0.7569,female,HSCs
745.9112,0.7313,female,HSCs
756.9803,0.7313,female,HSCs
756.9803,0.7074,female,HSCs
780.7621,0.7074,female,HSCs
780.7621,0.6822,female,HSCs
784.1173,0.6822,female,HSCs
784.1173,0.6588,female,HSCs
794.9721,0.6588,female,HSCs
794.9721,0.6354,female,HSCs
794.9721,0.6345,female,HSCs
794.9721,0.6102,female,HSCs
801.0078,0.6102,female,HSCs
801.0078,0.5859,female,HSCs
801.0078,0.5612,female,HSCs
808.1664,0.5612,female,HSCs
808.1664,0.5374,female,HSCs
808.1664,0.5121,female,HSCs
819.2878,0.5121,female,HSCs
819.2878,0.4882,female,HSCs
823.2999,0.4882,female,HSCs
823.2999,0.4636,female,HSCs
828.004,0.4636,female,HSCs
828.004,0.4385,female,HSCs
863.0946,0.4385,female,HSCs
580.0,1.0,female,Gal-Nav
603.6726,1.0,female,Gal-Nav
603.6726,0.977,female,Gal-Nav
611.209,0.977,female,Gal-Nav
611.209,0.9555,female,Gal-Nav
629.7398,0.9555,female,Gal-Nav
629.7398,0.9311,female,Gal-Nav
636.9731,0.9311,female,Gal-Nav
636.9731,0.9076,female,Gal-Nav
639.1372,0.9076,female,Gal-Nav
639.1372,0.8842,female,Gal-Nav
646.6051,0.8842,female,Gal-Nav
646.6051,0.8616,female,Gal-Nav
662.4928,0.8616,female,Gal-Nav
662.4928,0.8365,female,Gal-Nav
667.6259,0.8365,female,Gal-Nav
667.6259,0.8147,female,Gal-Nav
671.9113,0.8147,female,Gal-Nav
671.9113,0.7908,female,Gal-Nav
687.8869,0.7908,female,Gal-Nav
687.8869,0.7675,female,Gal-Nav
693.1606,0.7675,female,Gal-Nav
693.1606,0.7458,female,Gal-Nav
695.9109,0.7458,female,Gal-Nav
695.9109,0.7202,female,Gal-Nav
723.6237,0.7202,female,Gal-Nav
723.6237,0.6972,female,Gal-Nav
731.797,0.6972,female,Gal-Nav
731.797,0.6741,female,Gal-Nav
749.8113,0.6741,female,Gal-Nav
749.8113,0.6519,female,Gal-Nav
752.082,0.6519,female,Gal-Nav
752.082,0.6283,female,Gal-Nav
765.0798,0.6283,female,Gal-Nav
765.0798,0.6042,female,Gal-Nav
794.1218,0.6042,female,Gal-Nav
794.1218,0.5817,female,Gal-Nav
794.1218,0.5595,female,Gal-Nav
814.1238,0.5595,female,Gal-Nav
814.1238,0.5347,female,Gal-Nav
814.1238,0.5117,female,Gal-Nav
844.2837,0.5117,female,Gal-Nav
844.2837,0.4891,female,Gal-Nav
847.8244,0.4891,female,Gal-Nav
847.8244,0.4653,female,Gal-Nav
850.1743,0.4653,female,Gal-Nav
850.1743,0.442,female,Gal-Nav
863.4209,0.442,female,Gal-Nav
580.0,1.0,female,no_Rapamycin
616.9573,1.0,female,no_Rapamycin
616.9573,0.9804,female,no_Rapamycin
625.7823,0.9804,female,no_Rapamycin
625.7823,0.9582,female,no_Rapamycin
667.656,0.9582,female,no_Rapamycin
667.656,0.9346,female,no_Rapamycin
681.9446,0.9346,female,no_Rapamycin
681.9446,0.9144,female,no_Rapamycin
685.7541,0.9144,female,no_Rapamycin
685.7541,0.8923,female,no_Rapamycin
692.6405,0.8923,female,no_Rapamycin
692.6405,0.8715,female,no_Rapamycin
696.2941,0.8715,female,no_Rapamycin
696.2941,0.8483,female,no_Rapamycin
700.0233,0.8483,female,no_Rapamycin
700.0233,0.8258,female,no_Rapamycin
707.8541,0.8258,female,no_Rapamycin
707.8541,0.8053,female,no_Rapamycin
723.0409,0.8053,female,no_Rapamycin
723.0409,0.7822,female,no_Rapamycin
736.9227,0.7822,female,no_Rapamycin
736.9227,0.7612,female,no_Rapamycin
746.078,0.7612,female,no_Rapamycin
746.078,0.74,female,no_Rapamycin
757.9458,0.74,female,no_Rapamycin
757.9458,0.7176,female,no_Rapamycin
813.0588,0.7176,female,no_Rapamycin
813.0588,0.6957,female,no_Rapamycin
837.2114,0.6957,female,no_Rapamycin
837.2114,0.6738,female,no_Rapamycin
842.414,0.6738,female,no_Rapamycin
842.414,0.6523,female,no_Rapamycin
849.0176,0.6523,female,no_Rapamycin
580.0,1.0,female,no_HSCs
591.5157,1.0,female,no_HSCs
591.5157,0.9787,female,no_HSCs
632.1867,0.9787,female,no_HSCs
632.1867,0.959,female,no_HSCs
646.6781,0.959,female,no_HSCs
646.6781,0.9364,female,no_HSCs
687.302,0.9364,female,no_HSCs
687.302,0.9143,female,no_HSCs
693.6848,0.9143,female,no_HSCs
693.6848,0.8919,female,no_HSCs
728.0554,0.8919,female,no_HSCs
728.0554,0.8706,female,no_HSCs
731.4499,0.8706,female,no_HSCs
731.4499,0.8484,female,no_HSCs
734.8195,0.8484,female,no_HSCs
734.8195,0.8293,female,no_HSCs
752.043,0.8293,female,no_HSCs
752.043,0.8061,female,no_HSCs
778.9459,0.8061,female,no_HSCs
778.9459,0.7847,female,no_HSCs
778.9459,0.7605,female,no_HSCs
835.2408,0.7605,female,no_HSCs
580.0,1.0,female,mTERT
631.9832,1.0,female,mTERT
631.9832,0.9794,female,mTERT
640.4698,0.9794,female,mTERT
640.4698,0.9575,female,mTERT
723.2718,0.9575,female,mTERT
723.2718,0.9366,female,mTERT
731.7977,0.9366,female,mTERT
731.7977,0.916,female,mTERT
731.7977,0.9153,female,mTERT
731.7977,0.8933,female,mTERT
742.8179,0.8933,female,mTERT
742.8179,0.8704,female,mTERT
761.7086,0.8704,female,mTERT
761.7086,0.8496,female,mTERT
761.7086,0.8469,female,mTERT
761.7086,0.8268,female,mTERT
765.9068,0.8268,female,mTERT
765.9068,0.8046,female,mTERT
773.6103,0.8046,female,mTERT
786.7647,0.8046,female,mTERT
786.7647,0.7843,female,mTERT
789.3942,0.7843,female,mTERT
789.3942,0.7612,female,mTERT
795.1404,0.7612,female,mTERT
795.1404,0.74,female,mTERT
814.2242,0.74,female,mTERT
814.2242,0.719,female,mTERT
814.2242,0.6953,female,mTERT
816.4741,0.6953,female,mTERT
