x,y,sex,category
580.0,1.0,male,All
673.09,1.0,male,All
673.2,0.98,male,All
679.7,0.96,male,All
679.84,0.98,male,All
722.91,0.94,male,All
723.14,0.96,male,All
792.76,0.92,male,All
792.89,0.94,male,All
794.61,0.92,male,All
794.87,0.9,male,All
806.96,0.88,male,All
807.04,0.9,male,All
834.97,0.88,male,All
580.0,1.0,male,Gal-Nav
580.27,1.0,male,Gal-Nav
603.78,0.98,male,Gal-Nav
604.3,1.0,male,Gal-Nav
610.25,0.96,male,Gal-Nav
610.25,0.98,male,Gal-Nav
674.68,0.96,male,Gal-Nav
675.14,0.94,male,Gal-Nav
675.78,0.92,male,Gal-Nav
676.47,0.94,male,Gal-Nav
708.63,0.9,male,Gal-Nav
708.63,0.92,male,Gal-Nav
715.98,0.9,male,Gal-Nav
716.09,0.89,male,Gal-Nav
727.76,0.89,male,Gal-Nav
727.95,0.87,male,Gal-Nav
759.62,0.87,male,Gal-Nav
759.71,0.85,male,Gal-Nav
762.84,0.83,male,Gal-Nav
763.06,0.85,male,Gal-Nav
765.74,0.81,male,Gal-Nav
765.78,0.83,male,Gal-Nav
766.08,0.79,male,Gal-Nav
779.58,0.79,male,Gal-Nav
780.09,0.77,male,Gal-Nav
797.66,0.77,male,Gal-Nav
797.92,0.75,male,Gal-Nav
816.83,0.75,male,Gal-Nav
816.92,0.73,male,Gal-Nav
822.36,0.72,male,Gal-Nav
822.98,0.73,male,Gal-Nav
829.52,0.72,male,Gal-Nav
829.87,0.7,male,Gal-Nav
844.77,0.68,male,Gal-Nav
844.95,0.7,male,Gal-Nav
853.64,0.68,male,Gal-Nav
854.03,0.66,male,Gal-Nav
862.93,0.66,male,Gal-Nav
580.0,1.0,male,HSCs
580.07,1.0,male,HSCs
629.7,0.97,male,HSCs
629.97,1.0,male,HSCs
696.15,0.97,male,HSCs
696.42,0.95,male,HSCs
719.6,0.92,male,HSCs
719.95,0.95,male,HSCs
760.82,0.92,male,HSCs
761.25,0.9,male,HSCs
766.01,0.9,male,HSCs
766.17,0.87,male,HSCs
799.14,0.87,male,HSCs
799.44,0.85,male,HSCs
805.11,0.84,male,HSCs
805.17,0.82,male,HSCs
818.83,0.82,male,HSCs
818.9,0.79,male,HSCs
824.66,0.77,male,HSCs
824.98,0.79,male,HSCs
837.82,0.74,male,HSCs
838.1,0.77,male,HSCs
839.67,0.72,male,HSCs
839.93,0.74,male,HSCs
850.82,0.72,male,HSCs
851.17,0.69,male,HSCs
862.8,0.69,male,HSCs
580.0,1.0,male,mTERT
625.9,0.98,male,mTERT
625.9,1.0,male,mTERT
669.31,0.96,male,mTERT
