Search query: Cancer
Year,Count
2024,15046
2023,260677
2022,277847
2021,284568
2020,264633
2019,232708
2018,217492
2017,208742
2016,202516
2015,199001
2014,187903
2013,171664
2012,161750
2011,149287
2010,135880
2009,123607
2008,117259
2007,110056
2006,102330
2005,96475
2004,88523
2003,82755
2002,77456
2001,73457
2000,71551
1999,67081
1998,64941
1997,63015
1996,61266
1995,58760
1994,58293
1993,55265
1992,53536
1991,51669
1990,53446
1989,51986
1988,48061
1987,45151
1986,43117
1985,41955
1984,40361
1983,37546
1982,35059
1981,33413
1980,32556
1979,31424
1978,29631
1977,27731
1976,26109
1975,25510
1974,24242
1973,23316
1972,22704
1971,22251
1970,21140
1969,20742
1968,20516
1967,18880
1966,16885
1965,17346
1964,19411
1963,16257
1962,12311
1961,11426
1960,10404
1959,10421
1958,9946
1957,10373
1956,10124
1955,10349
1954,9685
1953,9623
1952,9434
1951,9029
1950,6982
1949,5096
1948,5456
1947,4613
1946,3366
1945,953
1944,40
1943,34
1942,34
1941,57
1940,45
1939,61
1938,71
1937,57
1936,67
1935,71
1934,63
1933,43
1932,54
1931,53
1930,58
1929,63
1928,56
1927,48
1926,56
1925,54
1924,41
1923,42
1922,38
1921,31
1920,28
1919,21
1918,20
1917,20
1916,41
1915,49
1914,53
1913,39
1912,48
1911,58
1910,39
1909,71
1908,41
1907,29
1906,29
1905,47
1904,36
1903,56
1902,48
1901,28
1900,29
1899,28
1898,22
1897,15
1896,18
1895,18
1894,17
1893,18
1892,20
1891,20
1890,30
1889,23
1888,16
1887,16
1886,9
1885,10
1884,9
1883,12
1882,17
1881,21
1880,12
1879,7
1878,7
1877,14
1876,8
1875,11
1874,16
1873,14
1872,14
1871,7
1870,19
1869,7
1868,8
1867,11
1866,3
1865,4
1864,2
1863,1
1862,6
1861,4
1860,8
1859,8
1858,8
1857,9
1856,7
1855,7
1854,4
1853,4
1852,14
1851,3
1849,4
1848,2
1847,7
1846,5
1845,2
1844,12
1843,7
1842,3
1841,4
1840,5
1838,1
1837,1
1832,1
1831,7
1830,2
1829,4
1828,1
1826,4
1823,3
1822,1
1821,2
1820,2
1819,1
1818,3
1817,2
1816,1
1815,2
1814,1
1813,1
1812,2
1811,1
1810,2
1809,1
1808,1
1807,3
1806,1
1805,1
1804,2
1803,2
1802,4
1801,7
1800,1
1792,1
1789,1
1787,1
1784,1
1783,1
